Word, Sadness, Joy, Love, Anger, Fear, Surprise
confirming,3,5,2,1,0,0
buildable,0,0,0,0,0,1
aimless,8,1,0,2,5,2
silo,2,0,0,0,0,0
guiltless,4,2,1,0,0,0
temptations,5,6,1,2,0,0
stationed,0,2,1,0,1,0
adf,1,0,0,0,0,1
rite,11,6,1,3,2,2
consecrated,2,0,0,0,0,1
unware,0,1,0,0,0,0
burdensome,4,2,0,1,1,0
separatist,0,0,0,1,0,0
separatism,0,0,0,1,0,0
immediacy,2,3,1,1,1,0
topple,1,2,0,1,1,0
beppu,1,0,1,0,0,0
apu,1,3,0,0,0,0
shoreline,1,2,1,0,0,0
constitutes,4,3,0,1,0,0
pcm,0,1,0,0,0,0
pollen,2,3,0,0,0,0
barometric,1,1,1,0,0,0
slayin,0,0,0,1,0,0
layin,0,0,0,1,0,0
sayin,1,1,1,1,0,0
prayin,0,1,0,1,0,0
breathin,0,0,0,1,0,0
gaspin,0,0,0,1,0,0
leavin,0,1,0,1,0,0
teasin,0,0,0,1,0,0
pleasin,0,0,0,1,0,0
treassured,1,0,0,1,0,0
kajal,0,1,0,0,0,0
fookin,0,0,0,1,0,0
psychotherapy,1,1,0,0,0,1
conclusions,6,5,1,4,3,0
baffle,0,0,0,1,0,0
bleakness,1,1,1,0,1,0
purger,1,1,0,0,0,0
furmeet,0,1,1,1,0,0
britney,11,6,2,0,1,0
labatt,0,1,1,0,0,0
medicinals,1,1,0,0,0,0
grandma,24,26,7,6,6,2
runtime,1,1,0,0,0,0
descriptioni,1,0,0,0,0,0
sartre,1,0,0,2,1,0
autobiography,1,2,1,1,0,1
wading,4,2,0,4,2,0
dialog,1,6,1,2,2,1
amphitheater,0,1,1,0,0,0
boone,2,1,1,0,1,0
renn,0,1,1,0,0,0
faire,1,1,1,0,0,0
canines,2,1,0,0,0,0
thinkin,1,2,0,0,0,0
critted,0,1,0,0,0,0
homegirl,0,0,0,0,0,1
fran,2,5,0,0,1,1
holyhead,2,0,0,0,0,0
comedies,2,3,9,0,0,0
apnoea,0,0,0,0,1,0
groan,2,7,0,3,1,0
phobias,0,1,0,3,1,0
stupider,2,1,1,1,1,0
incompetant,0,0,0,0,1,0
unpacking,2,3,0,2,2,2
ravens,0,0,0,1,1,1
reassemble,0,1,1,0,0,0
moisturising,2,2,6,2,0,0
blasphemous,1,1,0,0,2,1
supermarkets,1,2,0,1,1,1
kolkata,0,2,0,0,0,0
woiii,0,0,0,1,0,0
homeschool,8,10,3,1,0,0
mmm,1,3,1,2,0,0
snl,0,1,1,0,0,0
dependably,0,0,0,0,0,1
precariously,0,0,1,0,0,1
auditorium,1,2,0,0,1,0
underprepared,2,0,0,1,1,1
incendiarism,0,1,0,0,0,0
commanders,0,1,0,0,1,0
arouse,1,2,2,0,0,0
degradation,0,2,0,1,0,0
awoken,4,2,1,3,1,0
undermining,2,4,0,1,0,0
anybodys,0,1,0,2,1,0
sinister,0,5,0,1,0,1
unafraid,0,6,1,0,1,0
remington,0,1,0,0,0,1
skirting,0,2,0,0,0,0
demoralized,7,0,0,1,3,0
dehumanize,1,0,0,0,0,0
tuberculosis,1,0,0,0,0,0
jennysbooks,1,0,0,0,0,0
rads,1,1,0,0,0,0
alesha,0,0,1,0,0,0
conducive,0,6,2,1,0,0
scrambling,1,1,1,3,4,0
nauseaus,2,0,0,0,1,0
remiss,1,0,1,0,0,0
thatday,1,0,0,0,0,0
londons,0,1,0,0,0,0
heron,1,1,0,1,0,0
pared,0,1,0,0,0,0
pointy,1,2,1,0,1,0
undersigned,0,1,0,0,0,0
exaggerated,3,8,2,3,1,0
timestamp,2,2,0,0,3,0
youremykryptonitept,0,1,0,0,0,0
yunque,0,1,0,0,0,0
groundlessness,0,0,0,0,1,0
nyehehe,1,0,0,0,0,0
monopoly,4,3,0,0,0,0
sunbears,0,1,0,0,0,0
overcame,3,2,1,0,0,0
recongnise,1,0,0,1,0,0
rejects,2,0,0,3,1,0
blubbery,3,0,0,0,0,0
flatty,0,1,0,0,0,0
advocating,2,10,6,1,0,1
watchers,10,8,3,2,3,0
pp,0,3,3,1,0,0
garin,1,0,0,0,0,0
underlines,0,0,1,0,0,0
mcgill,0,0,1,0,0,0
ardent,2,0,1,0,0,0
retract,2,1,1,0,1,0
duplex,2,2,0,0,0,0
leveled,6,5,1,1,3,1
inclines,0,1,0,0,0,0
himothy,0,0,0,1,0,0
stooooopid,0,0,0,1,0,0
kindhearted,1,2,0,0,0,0
granddaughters,0,2,1,0,0,0
rambly,3,1,0,1,0,0
scriptwork,1,0,0,0,0,0
potc,2,0,0,1,0,0
hoot,2,0,0,0,1,0
stymied,1,2,1,2,1,0
jab,2,2,0,1,1,0
bacon,4,15,7,2,0,1
flavours,1,7,2,0,0,1
popchassid,0,0,0,0,1,0
normalised,1,1,0,0,0,0
herei,0,0,0,0,1,0
voluntary,1,5,2,2,0,0
nci,1,1,1,0,0,0
coastwatch,0,1,1,0,0,0
gabi,2,2,1,1,0,0
sewasauruses,0,0,1,0,0,0
sinai,0,2,0,0,1,1
nad,3,0,1,1,0,0
zumba,6,7,2,1,1,0
browsed,0,4,0,0,0,1
developerist,0,1,0,0,0,0
skypixie,0,1,0,0,0,0
ipb,1,1,0,0,0,0
chirpy,0,2,0,0,0,1
endangerment,1,0,0,0,0,0
imperiling,1,0,0,0,0,0
everybodys,2,3,1,2,1,1
rounding,1,2,4,1,1,1
novice,2,4,0,0,1,0
probaby,1,0,0,0,0,0
electroic,0,0,1,0,0,0
prelude,2,0,0,1,1,0
crispin,0,1,1,0,0,0
englishman,0,0,1,3,0,0
enchiladas,0,2,2,0,0,0
legitimatly,1,0,0,0,0,0
shun,4,4,2,1,1,0
deviate,0,1,0,0,1,0
informational,0,2,0,0,0,0
lectured,4,2,0,0,0,0
fussed,0,2,1,0,1,1
howz,0,2,0,0,0,0
shoo,0,1,0,2,0,0
ood,0,1,1,0,0,0
disruptions,0,0,0,0,1,0
serpent,0,0,0,0,1,0
metamucil,0,1,0,1,1,0
comparable,2,4,0,2,2,0
bcbg,0,1,0,0,0,0
bosworth,0,2,0,0,0,0
cottam,0,0,0,1,0,0
mole,1,1,2,2,1,1
freinds,2,0,2,0,1,0
miffed,6,1,0,1,0,0
prizes,2,11,4,2,0,0
pallet,1,0,0,0,0,0
thrills,3,6,3,1,1,0
stressfree,0,1,0,0,0,0
catalog,3,5,1,1,1,0
tormenting,1,1,1,2,0,0
stampotique,0,1,0,0,0,0
masons,0,1,0,1,0,0
slashers,1,0,0,0,0,0
oblivious,8,2,1,7,1,2
tiffani,1,0,0,0,0,0
goodlooking,1,1,0,0,0,0
sistert,1,0,0,0,0,0
rains,11,10,2,1,1,0
imaging,0,1,1,0,0,0
jeffreys,0,1,0,0,0,0
loosening,2,0,0,1,1,0
tailored,2,3,0,0,0,0
dragonmommie,0,0,0,0,0,1
lonestar,0,0,0,0,0,1
smeared,1,4,2,2,1,0
grazed,1,0,1,0,0,0
obstinate,0,3,0,3,0,0
vigor,1,1,0,0,0,0
electrons,0,1,1,2,0,0
protons,0,0,0,1,0,0
cbc,0,1,1,0,0,0
jazzyboy,0,0,1,0,0,0
kola,0,1,0,0,0,0
mambrui,0,1,0,0,0,0
malindi,0,2,0,0,0,0
niggle,1,1,0,0,0,0
outcomes,7,14,4,1,2,1
longings,2,2,2,1,0,0
representations,0,2,1,0,1,0
antihistamine,1,2,0,0,0,0
tendonitis,0,0,0,1,1,0
showrunners,0,0,1,0,0,0
nosing,1,0,0,0,0,0
kisser,2,4,1,0,0,0
brendan,2,1,0,0,3,0
writerhouse,0,1,0,0,0,0
drywalling,1,0,0,0,0,0
follies,2,0,0,0,0,0
mishapps,1,0,0,0,0,0
strentghs,1,0,0,0,0,0
ifcm,1,0,0,0,0,0
upstate,3,0,0,0,0,0
teleported,1,1,0,0,0,1
buenos,2,1,0,0,0,0
aires,1,1,0,0,0,0
ithaca,1,0,0,0,1,1
lebih,2,0,1,0,0,0
tepat,1,0,0,0,0,0
diungkapkan,1,0,0,0,0,0
dengan,1,1,0,0,1,0
golemen,1,0,0,0,0,0
dalam,1,1,0,0,0,0
bukunya,1,0,0,0,0,0
menyatakan,1,0,0,0,0,0
bahwa,1,0,0,0,0,0
kontribusi,1,0,0,0,0,0
bagi,1,0,0,0,0,0
keberhasilan,1,0,0,0,0,0
seseorang,1,0,0,0,0,0
hanya,1,0,0,0,0,0
sekitar,1,0,0,0,0,0
sisanya,1,0,0,0,0,0
ditentukan,1,0,0,0,0,0
oleh,1,0,0,0,0,0
serumpun,1,0,0,0,0,0
faktor,2,0,0,0,0,0
disebut,1,0,0,0,0,0
kecerdasan,1,0,0,0,0,0
emosional,1,0,0,0,0,0
eq,2,1,1,0,0,0
volvo,0,0,1,0,1,0
hypnotise,0,0,0,0,2,0
camel,3,5,1,1,1,0
undertones,1,2,2,0,1,0
ikea,5,5,1,1,0,1
fruity,2,6,0,0,0,0
boozy,2,1,1,0,0,0
avoidable,1,1,0,1,0,0
ellis,1,3,0,0,1,0
exec,0,2,0,0,0,0
charley,0,3,1,0,1,0
cluelessness,0,0,0,0,0,1
cinemas,2,2,0,2,0,0
onerous,1,1,0,1,1,0
scrambled,4,1,1,2,0,0
jelak,0,0,0,1,0,0
catherine,2,1,1,4,4,0
stevens,3,6,0,0,0,0
smother,1,5,1,2,1,1
django,0,2,0,0,0,0
python,0,3,0,2,2,0
donuts,3,6,3,0,1,1
educates,0,0,1,0,0,0
kashrut,0,1,0,0,0,0
widowhood,0,1,0,0,0,0
lateyou,0,1,0,0,0,0
beauxbaton,1,0,0,0,0,0
ikhwan,0,0,0,1,0,0
contingent,0,1,0,0,1,0
ims,1,2,0,2,0,0
blighted,1,0,0,0,0,0
halloweeny,0,1,0,0,0,0
puncturing,0,1,1,0,1,0
limitless,0,3,0,0,3,1
exponentially,2,2,2,1,3,0
summitt,0,0,1,0,0,0
bombs,4,3,0,0,0,0
plunk,0,1,0,0,0,0
casualty,2,1,0,1,0,0
soar,8,1,2,0,1,0
shiatsu,2,0,0,0,0,0
ramains,1,0,0,0,0,0
debacles,0,1,0,0,0,0
hallmark,1,4,1,2,0,0
mortified,4,2,0,1,3,0
analyse,2,5,0,2,2,0
jrpgs,0,1,0,0,0,0
birchbox,0,3,0,0,0,0
blemishes,1,4,0,1,1,0
kawaii,1,5,0,0,0,0
gumimegpoid,0,1,0,0,0,0
gumi,0,1,0,1,0,0
gumicosplay,0,1,0,0,0,0
animemakeup,0,1,0,0,0,0
kawaiidesu,0,1,0,0,0,0
vocaloid,1,1,0,0,0,0
vocaloidmakeup,0,1,0,0,0,0
vocaloidcosplay,0,1,0,0,0,0
costest,0,1,0,0,0,0
cutie,1,6,0,1,0,0
alpaca,0,2,0,0,0,0
noot,0,1,0,0,0,0
swag,1,2,3,0,0,0
rations,0,1,1,0,0,0
draper,0,1,1,3,2,0
silhouette,1,9,0,1,0,0
blakes,1,0,0,1,0,0
humours,0,0,0,0,0,1
deboarded,0,1,0,0,0,0
quadruplet,0,1,1,0,0,0
checkbook,0,1,0,0,1,0
regurgitating,3,3,1,0,1,0
shhh,1,0,2,0,0,0
jk,2,2,0,0,0,1
neelys,0,1,0,0,0,0
tourette,2,0,0,0,0,0
boney,0,1,0,0,0,0
fingeredness,0,1,0,0,0,0
cleveland,4,2,2,1,2,0
restitution,0,0,0,1,0,0
drab,7,1,0,0,0,1
isotretinoin,1,0,0,0,0,0
accutane,1,1,0,0,0,0
retinoids,1,0,0,0,0,0
confettiskin,1,0,0,0,0,0
converged,1,1,0,1,0,0
placenta,0,2,0,2,0,0
wana,2,2,1,1,1,0
xanga,1,1,3,0,2,0
vows,1,4,1,0,2,0
amitabha,0,1,1,0,0,0
idf,0,1,0,0,0,0
dressers,0,2,1,0,0,0
bol,0,1,0,0,0,0
homeroom,0,1,1,0,1,0
adviser,0,3,1,3,1,1
recess,1,4,0,1,0,0
willie,1,2,1,0,1,0
redirect,2,1,0,0,1,0
legible,1,0,0,0,0,0
whinging,4,1,1,0,0,0
rasputins,0,0,0,1,0,0
motorcycles,0,0,0,2,0,0
kj,1,0,0,4,0,0
lanapolj,0,0,0,1,0,0
enamel,0,1,1,0,0,1
askad,0,0,0,1,0,0
terrene,0,1,0,0,0,0
wobble,2,2,0,1,4,0
stansted,0,1,0,0,0,0
bison,0,1,0,0,0,0
inconvienence,1,0,0,0,0,0
jap,3,0,1,1,0,0
attachments,3,4,0,1,1,0
sailors,2,4,3,3,0,0
becalmed,1,0,0,0,0,0
romanticize,1,0,0,1,0,0
dredge,3,3,0,0,1,0
heightened,5,11,3,3,4,0
qantas,0,0,0,2,0,0
jetstar,0,0,0,1,0,0
xvid,3,0,0,0,0,0
lucid,1,2,1,0,2,1
cyberspace,1,6,0,2,0,0
ionspost,0,0,0,1,0,0
onsm,0,0,0,1,0,0
lpull,0,0,0,1,0,0
hugjanu,0,0,0,1,0,0
mneo,0,0,0,1,0,0
jecttrue,0,0,0,1,0,0
yehop,0,0,0,1,0,0
drdardpn,0,0,0,1,0,0
ehr,0,0,0,1,0,0
plne,0,0,0,1,0,0
hihn,0,0,0,1,0,0
neha,0,0,0,1,1,1
ewhic,0,0,0,1,0,0
heehonf,0,0,0,1,0,0
indisputably,0,2,0,1,0,0
induced,9,4,0,2,4,2
yeshua,0,1,0,0,0,1
macaroni,0,3,1,2,0,0
guai,1,0,0,0,0,0
abuzz,1,1,0,0,0,0
careened,0,2,0,0,0,0
credible,1,3,0,1,2,1
atrociously,0,1,0,0,0,0
existences,0,1,1,0,0,0
grimey,0,1,0,0,0,0
eyeing,1,6,2,1,0,0
slamming,1,3,1,2,1,1
mugged,3,1,0,5,1,0
lyon,1,0,0,0,0,0
ibp,1,0,0,0,0,0
bloomer,1,0,0,1,0,0
salads,2,3,0,2,0,1
raking,2,1,0,0,0,0
rhythmically,0,1,3,0,0,0
hufffreehiphop,0,2,0,0,0,0
emmotionally,0,1,0,0,0,0
spirutally,0,1,0,0,0,0
rgcd,0,1,0,0,0,0
compo,0,1,0,1,0,0
castro,3,2,0,0,1,0
videographers,0,1,0,1,0,0
imbicilic,0,1,0,0,0,0
villa,4,1,0,0,0,0
versailles,1,0,0,0,0,0
gingerly,2,3,0,1,0,0
parachute,0,2,0,0,1,0
ousted,1,2,0,0,0,0
mastiff,1,1,0,0,0,0
bloodied,1,0,1,0,0,0
sodium,2,2,1,0,0,1
brokeback,1,1,0,0,0,0
lulled,1,3,2,1,1,0
commericals,0,1,0,0,0,0
aftershave,0,1,0,0,0,0
encircling,0,1,0,0,0,0
evenly,1,4,1,1,1,0
ibroprofen,1,0,0,0,0,0
eveything,1,0,1,0,0,0
miscue,0,0,0,1,0,0
ichabod,1,0,0,0,0,0
enclosed,1,4,1,0,3,0
greenlight,1,1,0,0,0,0
jonesing,1,0,0,1,0,0
illustrate,2,7,0,2,4,0
ridicule,4,4,2,2,1,0
fetishization,0,0,0,0,1,0
zoe,1,4,0,3,2,1
percieves,1,0,0,0,0,0
percieve,1,0,0,1,0,1
maggies,0,1,1,0,0,0
ballard,0,0,0,1,0,0
martouf,0,1,0,0,0,0
irishman,0,0,0,1,0,0
thth,1,0,0,0,0,0
eng,2,0,0,0,1,0
saddned,1,0,0,0,0,0
hurtin,0,1,0,1,0,0
thnk,1,2,1,0,0,0
includin,0,1,0,0,0,0
shigeru,0,0,0,1,1,0
pecking,0,2,0,2,1,0
immensity,0,1,0,0,1,1
openness,0,5,2,4,4,1
enclosure,0,0,0,0,2,0
mattie,0,1,0,0,0,0
fri,5,6,1,2,2,0
intjs,0,0,0,0,1,0
exsistance,0,1,0,0,0,0
zits,1,1,0,1,0,0
sportsgirl,0,1,0,0,0,0
dotti,0,1,0,0,0,0
waterside,0,0,0,1,0,0
amendments,2,0,0,0,0,0
honourable,2,2,1,0,0,0
drafting,1,5,1,2,0,0
selfies,6,2,0,1,1,0
quoted,8,11,3,1,2,1
vpcs,1,0,0,0,0,0
propaganda,6,0,0,3,2,1
flattering,4,13,3,2,0,0
verklempt,0,2,0,0,0,1
hairnet,0,0,0,0,0,1
chesley,0,1,0,0,0,0
dailies,3,0,1,0,2,0
rainfall,3,0,0,0,0,0
thunderstorms,3,1,0,2,0,0
schoolday,0,1,0,0,0,0
glalalamour,0,1,0,0,0,0
furthest,1,1,0,0,0,1
reaches,6,10,12,3,2,0
strides,5,6,1,1,0,0
assassins,1,1,1,0,0,1
daniellereeve,0,1,0,0,0,0
luminaries,0,1,0,1,0,0
swinelord,0,0,0,4,0,0
algorithms,1,1,0,0,0,0
gripped,4,2,1,0,3,0
spied,3,0,0,0,0,0
depraved,3,1,1,1,0,0
locator,1,0,0,0,0,0
secondly,6,10,2,2,2,0
bounded,1,0,0,0,1,0
okarina,0,0,1,0,0,0
velvets,0,2,0,1,0,0
zesty,0,4,1,0,0,0
studs,0,3,0,1,0,0
ombre,0,4,0,0,1,0
splashy,0,1,0,0,0,0
squander,1,3,0,0,0,0
fantastically,4,5,3,1,0,0
crayons,0,3,2,0,0,0
tightens,1,1,0,0,0,0
inflicting,1,4,1,0,1,0
thoese,1,0,0,0,0,0
reviwers,1,0,0,0,0,0
physiologically,0,1,0,0,0,0
scour,3,2,0,0,1,0
gcse,1,2,0,1,1,0
almosy,1,0,0,0,0,0
wenborn,1,0,0,0,0,0
aced,0,4,0,1,0,0
documentations,0,1,0,0,0,0
crapfest,1,0,0,0,0,0
unrepairably,1,0,0,0,0,0
vulcan,1,0,0,0,1,0
pickups,1,0,0,0,0,0
towed,3,1,0,3,0,1
accessability,0,2,0,0,0,0
gaggles,1,0,0,0,0,0
haptic,0,2,0,0,0,0
herrman,0,2,0,0,0,0
haptics,0,2,0,0,0,0
suffers,12,3,1,1,2,0
idky,1,0,0,0,0,0
urgh,2,3,1,1,0,0
inexcusably,0,0,0,2,0,0
candicestartingover,0,2,0,0,0,0
reborn,0,4,1,1,1,1
posterior,0,3,1,1,0,0
bub,0,2,0,0,0,0
puttered,1,0,0,1,1,0
diaries,3,1,3,1,2,2
indescribably,3,4,1,0,0,2
britishly,0,1,0,0,0,0
punditry,1,0,0,0,0,0
unstructured,1,0,0,0,2,0
exclusives,0,2,0,1,0,0
ony,0,0,0,1,0,0
gen,2,9,1,2,0,0
announces,1,1,0,2,1,0
lunchboxdiaries,0,1,0,0,0,0
transforming,4,5,1,0,0,0
frought,0,0,0,1,1,0
magananmous,0,1,1,0,0,0
magnanimus,0,1,1,0,0,0
pennsylvania,3,3,0,1,1,0
medians,1,0,0,0,0,0
apos,0,0,0,4,0,0
vendicated,0,1,0,0,0,0
pans,1,4,0,1,0,0
stacked,1,1,1,0,1,1
dramaqueen,0,0,1,0,0,0
crybaby,1,1,1,2,1,0
teardrops,0,0,1,0,0,0
elise,3,1,2,1,1,1
piddly,1,2,0,3,0,2
jeopardise,0,1,0,0,0,0
gra,1,0,0,1,0,0
colonel,1,0,0,1,0,0
osborne,1,0,0,1,0,0
unabashedly,2,1,2,0,1,0
cupping,0,0,1,1,1,0
cork,3,3,1,0,2,0
doherty,1,1,0,0,1,0
mannyquin,1,0,0,0,0,0
escalators,1,1,0,0,0,0
zwebhosting,0,1,0,0,0,0
rosie,3,1,1,0,0,0
cirlce,0,0,0,1,0,0
watanabe,0,0,0,0,0,1
mayu,0,0,0,0,0,1
mcslackerson,1,0,0,0,0,0
congregtion,0,0,0,0,1,0
expend,1,4,0,1,1,0
straggles,0,0,1,0,0,0
nuvias,0,1,0,0,0,0
doooooooooom,0,0,0,1,1,0
butterworth,0,1,0,0,0,0
rylance,0,1,0,0,0,0
marathons,1,4,1,0,2,2
suds,1,0,0,0,1,0
adaptations,2,2,2,1,0,0
setter,0,1,0,0,0,0
tattos,0,1,0,0,0,0
newb,1,1,0,1,0,0
uwrf,0,1,0,0,0,0
toiling,0,2,0,0,0,0
datasets,0,1,0,0,1,0
geoprocessing,0,1,0,0,0,0
abes,0,1,0,0,0,0
akejalkfnabaf,0,1,0,0,0,0
bogart,2,0,0,0,1,0
reprimanded,2,0,1,0,1,0
rangoli,0,0,0,1,0,0
frogman,0,0,0,1,0,0
chiuv,0,1,0,0,0,0
kaddish,0,1,0,0,0,0
daven,0,1,0,0,0,0
amud,0,1,0,0,0,0
bengal,0,2,0,0,0,0
roaster,1,0,0,0,0,0
crocheter,1,0,0,0,1,0
bearings,1,4,1,1,5,0
heavyweight,0,2,1,0,0,0
seals,1,1,1,0,0,0
candies,1,2,1,2,0,0
irs,1,2,0,0,1,0
mountainous,1,0,0,0,0,0
shurmur,1,0,0,0,0,0
eligible,3,5,0,0,1,0
perchance,0,0,1,0,0,0
kame,1,3,2,0,0,1
exclusive,4,10,3,2,1,0
allowance,4,4,1,0,1,0
crt,1,0,0,0,0,0
trimmed,1,4,0,0,0,0
stickler,0,1,1,0,1,0
stampin,5,1,0,0,0,0
networked,1,1,0,0,1,0
dabb,0,1,0,0,0,0
loflin,1,1,0,0,0,0
grabe,1,0,0,1,0,0
banff,1,1,0,0,1,0
freestyle,1,0,0,0,1,0
thither,0,1,0,0,0,0
lemme,2,4,0,1,0,0
metaphor,1,13,1,2,2,1
constellation,0,0,0,0,2,0
squaw,0,1,0,0,1,0
cultists,0,0,1,0,0,0
preston,1,5,1,0,0,0
amplified,4,2,1,4,1,0
wimpiness,0,1,0,0,0,0
samantha,0,4,2,0,1,0
paso,0,0,0,0,1,0
justifications,0,4,1,1,1,0
aired,1,3,1,2,1,1
lesnar,1,0,0,0,0,0
overdoses,1,1,0,0,0,0
nab,0,1,2,0,0,0
humanly,3,2,0,1,0,0
prequel,3,3,2,0,0,1
emilyhursh,0,1,0,0,0,0
easyer,0,0,0,1,0,0
romeo,3,0,2,0,2,0
tilda,0,3,0,0,0,0
professionalism,2,3,0,2,1,4
executing,0,2,0,1,0,0
boiling,3,7,0,3,1,0
imperturbable,0,1,0,0,0,0
cataclysmic,0,1,0,0,0,0
torturous,2,2,2,1,1,0
attainment,0,1,0,0,0,0
offhand,1,1,0,1,0,0
snorkel,0,2,0,1,0,0
reefs,0,1,0,0,0,0
postponed,2,2,0,1,1,0
realist,1,2,0,1,1,0
equilibrium,1,2,0,1,3,0
cram,6,4,1,5,1,1
wod,3,2,0,0,2,1
heartrate,0,0,0,0,2,1
dobrev,0,1,0,0,0,0
succeeding,4,12,0,2,1,1
funnyhumorcomedyblog,4,0,0,0,0,0
absolutly,2,2,1,1,1,0
imminently,0,2,0,0,0,0
falsies,0,0,0,1,0,0
induce,2,1,0,0,2,0
exiled,3,1,2,1,0,0
pi,3,5,0,2,1,0
autocorrect,0,0,0,0,0,4
perpetuating,3,1,3,0,1,0
capabilities,7,10,1,3,5,1
drugstore,3,3,2,0,1,0
brickfest,0,0,0,1,0,0
fricken,1,0,0,2,1,0
stresse,0,0,0,1,0,0
astros,0,2,0,0,0,0
aiken,0,1,0,0,0,0
ace,2,4,1,2,1,0
purdy,0,1,0,0,0,0
grooves,1,1,0,0,0,0
flavorful,0,2,1,0,0,0
amend,0,1,0,0,1,0
beginnin,0,0,0,0,3,0
russia,7,3,1,4,1,3
americana,1,2,0,1,0,0
enticed,3,1,0,0,0,0
blackmail,2,0,0,0,1,0
haircutters,0,1,0,0,0,0
metabolic,0,0,1,1,0,0
profess,2,1,1,0,0,0
blinks,0,0,0,2,1,1
ta,5,8,4,6,0,0
founder,1,6,2,0,0,0
transmit,1,1,3,0,0,0
claire,4,10,0,3,3,0
crayfish,1,0,0,0,1,0
formspring,1,0,0,0,0,0
npcs,0,2,0,0,0,0
glide,1,3,3,0,1,0
astvinr,0,1,1,0,0,0
thorolfr,0,1,1,0,0,0
troth,0,1,1,0,0,0
unsocial,0,1,0,0,0,0
shortchanging,0,1,0,0,0,0
profiled,1,1,0,1,1,0
switchy,2,0,0,0,0,0
od,1,1,0,0,1,0
mulatto,9,0,0,0,0,0
albino,9,1,0,0,2,1
molecule,0,3,3,1,0,0
osaka,0,4,0,0,0,1
thisll,1,0,0,1,0,0
oddities,0,2,0,0,0,0
transplant,4,5,1,0,0,0
notify,0,3,1,0,1,0
anli,0,1,0,0,0,0
ashamedly,0,0,0,1,1,2
psychosomatic,1,1,0,0,1,0
mah,0,6,0,1,1,0
pacify,0,0,0,2,1,0
ovacue,0,1,0,0,0,0
inhalers,1,0,0,0,0,0
frolic,2,2,0,0,0,1
noticeably,4,3,2,1,1,0
guantanamo,0,1,0,1,0,0
coal,5,2,1,0,0,0
jihadi,0,1,0,0,0,0
thelittlekingsley,1,0,0,0,0,0
indignated,1,0,0,0,1,0
architects,1,1,1,0,0,1
futuristic,0,1,2,0,0,1
hoes,0,1,1,2,1,0
yammering,0,0,0,0,1,0
franci,0,1,0,0,0,0
pagetype,5,7,2,1,0,0
wlyericawong,1,0,0,0,0,0
instaquote,0,0,0,7,0,0
instathough,0,0,0,7,0,0
johnnydeppquote,0,0,0,7,0,0
johnnydepp,3,0,0,7,0,0
celebsr,8,0,0,5,0,0
gangs,1,2,0,1,1,0
descriptionwoke,0,1,0,0,0,0
chelsey,0,1,0,0,0,0
sanderson,0,1,0,0,0,0
baba,2,5,1,1,1,0
domet,1,0,0,0,0,0
incurious,0,1,0,0,0,0
boyfies,0,0,0,1,0,0
competitors,2,5,0,0,1,0
deductible,2,1,0,0,0,0
binges,2,0,2,0,2,0
chouette,0,1,0,0,0,0
giddiness,1,4,1,0,0,0
outperforms,0,1,0,0,0,0
predecessors,0,2,0,0,0,0
usability,1,2,1,0,0,0
responsiveness,0,1,0,0,0,1
widescreen,0,1,0,0,0,0
oughta,0,1,2,1,0,0
handcuffs,3,2,0,0,0,0
eucalyptus,1,1,0,0,0,0
baja,0,1,0,0,0,0
babyfood,1,0,0,0,0,0
resembling,2,6,0,0,1,0
braid,3,5,0,0,0,0
bloating,5,0,2,0,1,0
constipation,4,1,0,0,0,0
washingtons,0,0,1,0,0,0
secodary,0,1,0,0,0,0
blabbering,0,2,0,2,0,0
retains,0,1,0,0,1,0
glimmer,2,4,2,1,3,0
tage,1,0,0,0,0,0
dannielsson,1,0,0,0,0,0
decor,2,16,3,2,0,1
hammersandhighheels,0,1,0,0,0,0
teena,1,0,0,1,0,0
longtime,2,3,0,0,1,0
frugalistas,0,1,0,0,0,0
untag,0,0,0,1,0,0
actualized,0,0,1,0,1,0
hammering,3,2,1,0,1,1
suzy,1,1,1,0,0,0
dictator,4,4,0,3,0,0
lipbalm,0,1,1,0,0,0
siri,0,2,0,1,0,0
lighthearted,3,6,2,0,2,0
tactful,1,2,1,0,0,0
positionrate,0,1,1,0,0,0
sordid,1,2,0,0,0,0
dumbs,0,0,0,2,0,0
demonstrates,0,6,0,2,1,0
takings,1,2,0,0,0,0
auditions,3,1,1,0,0,0
tommy,1,3,2,2,2,0
tenge,0,0,0,1,0,0
destroyingdeadends,0,1,0,0,0,0
rugby,3,1,3,5,3,0
willfulness,0,0,0,1,0,0
scantily,0,1,0,0,0,0
nubettes,0,1,0,0,0,0
eighty,0,1,2,1,1,0
relevancy,0,1,0,0,0,0
wiggy,0,0,0,0,0,1
firearm,4,1,0,0,0,0
prohibition,0,1,0,0,0,0
bcos,2,2,1,3,2,1
inexorable,1,0,1,0,1,1
briskly,0,3,0,0,0,0
brook,1,1,4,0,0,0
chestnut,1,3,0,0,0,0
feelonly,0,0,1,0,0,0
realbaby,0,0,1,0,0,0
youonly,0,0,1,0,0,0
crewi,0,0,1,0,0,0
candont,0,0,1,0,0,0
punkwhat,0,0,1,0,0,0
donned,2,1,0,0,1,0
pillar,4,5,1,4,0,1
operations,3,5,0,0,3,1
expository,1,0,0,0,0,0
dasgupta,0,0,0,1,0,0
jd,1,0,1,2,1,0
relic,0,0,0,1,2,1
jyj,0,0,0,3,0,0
mtv,1,1,1,2,0,1
oilers,0,1,1,0,1,1
